al	Density=2.6989	Thickness=0.2	microns
Photon	Energy	"(eV),"	Transmission
10	3.93E-12		
10.18	1.10E-11		
10.36	2.91E-11		
10.54	7.31E-11		
10.72	1.75E-10		
10.9	3.98E-10		
11.08	8.46E-10		
11.26	1.59E-09		
11.44	2.73E-09		
11.62	4.58E-09		
11.8	7.52E-09		
11.98	1.21E-08		
12.16	1.91E-08		
12.34	2.97E-08		
12.52	4.53E-08		
12.7	7.67E-08		
12.88	1.30E-07		
13.06	2.17E-07		
13.24	3.55E-07		
13.42	6.01E-07		
13.6	1.07E-06		
13.78	1.92E-06		
13.96	3.58E-06		
14.14	6.54E-06		
14.32	1.35E-05		
14.5	4.28E-05		
14.68	3.48E-04		
14.86	2.99E-03		
15.04	1.42E-02		
15.22	4.16E-02		
15.4	8.42E-02		
15.58	0.11808		
15.76	0.15001		
15.94	0.18118		
16.12	0.21437		
16.3	0.25103		
16.48	0.28999		
16.66	0.32992		
16.84	0.35862		
17.02	0.38269		
17.2	0.40621		
17.38	0.42788		
17.56	0.44762		
17.74	0.46176		
17.92	0.47563		
18.1	0.48923		
18.28	0.50255		
18.46	0.51558		
18.64	0.52832		
18.82	0.54139		
19	0.5544		
19.18	0.56713		
19.36	0.57953		
19.54	0.5916		
19.72	0.60335		
19.9	0.61477		
20.08	0.6246		
20.26	0.63379		
20.44	0.63452		
20.62	0.63526		
20.8	0.63598		
20.98	0.6367		
21.16	0.63741		
21.34	0.63812		
21.52	0.63881		
21.7	0.63951		
21.88	0.64019		
22.06	0.64087		
22.24	0.64154		
22.42	0.6422		
22.6	0.64286		
22.78	0.64352		
22.96	0.64416		
23.14	0.64403		
23.32	0.64338		
23.5	0.64218		
23.68	0.64047		
23.86	0.63878		
24.04	0.63709		
24.22	0.6354		
24.4	0.63373		
24.58	0.63206		
24.76	0.6304		
24.94	0.62874		
25.12	0.6271		
25.3	0.62545		
25.48	0.62397		
25.66	0.62258		
25.84	0.62159		
26.02	0.62125		
26.2	0.62091		
26.38	0.62057		
26.56	0.62024		
26.74	0.6199		
26.92	0.61957		
27.1	0.61924		
27.28	0.61891		
27.46	0.61859		
27.64	0.61827		
27.82	0.61794		
28	0.61763		
28.18	0.61731		
28.36	0.61699		
28.54	0.61668		
28.72	0.61636		
28.9	0.61605		
29.08	0.61575		
29.26	0.61544		
29.44	0.61513		
29.62	0.61483		
29.8	0.61453		
29.98	0.61423		
30.16	0.61393		
30.34	0.61363		
30.52	0.61334		
30.7	0.61304		
30.88	0.61275		
31.06	0.61246		
31.24	0.61217		
31.42	0.61188		
31.6	0.6116		
31.78	0.61131		
31.96	0.61103		
32.14	0.61075		
32.32	0.61052		
32.5	0.61039		
32.68	0.61026		
32.86	0.6104		
33.04	0.61089		
33.22	0.61137		
33.4	0.61185		
33.58	0.61233		
33.76	0.61281		
33.94	0.61329		
34.12	0.61376		
34.3	0.61422		
34.48	0.61469		
34.66	0.61515		
34.84	0.61561		
35.02	0.61607		
35.2	0.61652		
35.38	0.61697		
35.56	0.61742		
35.74	0.61787		
35.92	0.61831		
36.1	0.61876		
36.28	0.61919		
36.46	0.61963		
36.64	0.62006		
36.82	0.62049		
37	0.62092		
37.18	0.62135		
37.36	0.62177		
37.54	0.6222		
37.72	0.62261		
37.9	0.62303		
38.08	0.62345		
38.26	0.62386		
38.44	0.62427		
38.62	0.62468		
38.8	0.62508		
38.98	0.62549		
39.16	0.62589		
39.34	0.62629		
39.52	0.62669		
39.7	0.62708		
39.88	0.62747		
40.06	0.62787		
40.24	0.62825		
40.42	0.62866		
40.6	0.62912		
40.78	0.62958		
40.96	0.63004		
41.14	0.63067		
41.32	0.63145		
41.5	0.63222		
41.68	0.63299		
41.86	0.63376		
42.04	0.63452		
42.22	0.63527		
42.4	0.63602		
42.58	0.63677		
42.76	0.63751		
42.94	0.63825		
43.12	0.63899		
43.3	0.63972		
43.48	0.64044		
43.66	0.64117		
43.84	0.64188		
44.02	0.6426		
44.2	0.64331		
44.38	0.64402		
44.56	0.64472		
44.74	0.64542		
44.92	0.64611		
45.1	0.6468		
45.28	0.64749		
45.46	0.64818		
45.64	0.64886		
45.82	0.64953		
46	0.65021		
46.18	0.65088		
46.36	0.65154		
46.54	0.6522		
46.72	0.65286		
46.9	0.65352		
47.08	0.65417		
47.26	0.65482		
47.44	0.65561		
47.62	0.65725		
47.8	0.65888		
47.98	0.6605		
48.16	0.6621		
48.34	0.66408		
48.52	0.66609		
48.7	0.66808		
48.88	0.67006		
49.06	0.67203		
49.24	0.67398		
49.42	0.67591		
49.6	0.67783		
49.78	0.67973		
49.96	0.68161		
50.14	0.68348		
50.32	0.68534		
50.5	0.68718		
50.68	0.68901		
50.86	0.69082		
51.04	0.69262		
51.22	0.6944		
51.4	0.69617		
51.58	0.69792		
51.76	0.69967		
51.94	0.70139		
52.12	0.70311		
52.3	0.70481		
52.48	0.70649		
52.66	0.70817		
52.84	0.70983		
53.02	0.71148		
53.2	0.71294		
53.38	0.71435		
53.56	0.71575		
53.74	0.71715		
53.92	0.71852		
54.1	0.71976		
54.28	0.721		
54.46	0.72222		
54.64	0.72344		
54.82	0.72464		
55	0.72584		
55.18	0.72704		
55.36	0.72822		
55.54	0.72939		
55.72	0.73056		
55.9	0.73172		
56.08	0.73287		
56.26	0.73402		
56.44	0.73515		
56.62	0.73628		
56.8	0.73741		
56.98	0.73852		
57.16	0.73963		
57.34	0.74073		
57.52	0.74182		
57.7	0.7429		
57.88	0.74398		
58.06	0.74505		
58.24	0.74612		
58.42	0.74718		
58.6	0.74823		
58.78	0.74927		
58.96	0.75031		
59.14	0.75134		
59.32	0.75236		
59.5	0.75312		
59.68	0.75381		
59.86	0.7545		
60.04	0.75518		
60.22	0.75586		
60.4	0.75648		
60.58	0.75703		
60.76	0.75758		
60.94	0.75813		
61.12	0.75867		
61.3	0.75921		
61.48	0.75975		
61.66	0.76028		
61.84	0.76081		
62.02	0.76134		
62.2	0.76187		
62.38	0.76239		
62.56	0.76292		
62.74	0.76344		
62.92	0.76395		
63.1	0.76447		
63.28	0.76498		
63.46	0.76442		
63.64	0.7638		
63.82	0.76317		
64	0.76254		
64.18	0.76192		
64.36	0.76127		
64.54	0.76055		
64.72	0.75984		
64.9	0.75912		
65.08	0.7584		
65.26	0.75768		
65.44	0.75697		
65.62	0.75625		
65.8	0.75553		
65.98	0.75482		
66.16	0.7541		
66.34	0.75339		
66.52	0.75267		
66.7	0.75196		
66.88	0.75124		
67.06	0.75053		
67.24	0.74981		
67.42	0.7491		
67.6	0.74846		
67.78	0.74787		
67.96	0.74729		
68.14	0.7467		
68.32	0.74611		
68.5	0.74553		
68.68	0.74495		
68.86	0.74438		
69.04	0.74381		
69.22	0.74324		
69.4	0.74267		
69.58	0.74211		
69.76	0.74154		
69.94	0.74097		
70.12	0.74041		
70.3	0.73984		
70.48	0.73927		
70.66	0.73871		
70.84	0.73814		
71.02	0.73758		
71.2	0.73702		
71.38	0.73645		
71.56	0.73589		
71.74	0.73533		
71.92	0.73477		
72.1	0.7342		
72.28	0.73364		
72.46	0.73308		
72.64	0.60293		
72.82	2.92E-02		
73	2.86E-02		
73.18	2.80E-02		
73.36	2.74E-02		
73.54	2.68E-02		
73.72	2.62E-02		
73.9	2.56E-02		
74.08	2.51E-02		
74.26	2.45E-02		
74.44	2.40E-02		
74.62	2.35E-02		
74.8	2.29E-02		
74.98	2.24E-02		
75.16	2.19E-02		
75.34	2.14E-02		
75.52	2.10E-02		
75.7	2.05E-02		
75.88	2.00E-02		
76.06	1.96E-02		
76.24	1.91E-02		
76.42	1.87E-02		
76.6	1.83E-02		
76.78	1.79E-02		
76.96	1.74E-02		
77.14	1.70E-02		
77.32	1.67E-02		
77.5	1.63E-02		
77.68	1.59E-02		
77.86	1.55E-02		
78.04	1.52E-02		
78.22	1.48E-02		
78.4	1.44E-02		
78.58	1.41E-02		
78.76	1.38E-02		
78.94	1.34E-02		
79.12	1.31E-02		
79.3	1.28E-02		
79.48	1.25E-02		
79.66	1.22E-02		
79.84	1.19E-02		
80.02	1.16E-02		
80.2	1.13E-02		
80.38	1.10E-02		
80.56	1.08E-02		
80.74	1.05E-02		
80.92	1.03E-02		
81.1	1.01E-02		
81.28	9.84E-03		
81.46	9.61E-03		
81.64	9.39E-03		
81.82	9.18E-03		
82	8.97E-03		
82.18	8.76E-03		
82.36	8.56E-03		
82.54	8.36E-03		
82.72	8.17E-03		
82.9	7.98E-03		
83.08	7.79E-03		
83.26	7.61E-03		
83.44	7.43E-03		
83.62	7.26E-03		
83.8	7.09E-03		
83.98	6.92E-03		
84.16	6.75E-03		
84.34	6.59E-03		
84.52	6.44E-03		
84.7	6.28E-03		
84.88	6.13E-03		
85.06	5.99E-03		
85.24	5.84E-03		
85.42	5.70E-03		
85.6	5.56E-03		
85.78	5.43E-03		
85.96	5.32E-03		
86.14	5.24E-03		
86.32	5.15E-03		
86.5	5.07E-03		
86.68	4.99E-03		
86.86	4.91E-03		
87.04	4.83E-03		
87.22	4.75E-03		
87.4	4.71E-03		
87.58	4.68E-03		
87.76	4.65E-03		
87.94	4.62E-03		
88.12	4.59E-03		
88.3	4.56E-03		
88.48	4.53E-03		
88.66	4.50E-03		
88.84	4.47E-03		
89.02	4.44E-03		
89.2	4.41E-03		
89.38	4.38E-03		
89.56	4.35E-03		
89.74	4.32E-03		
89.92	4.29E-03		
90.1	4.26E-03		
90.28	4.24E-03		
90.46	4.21E-03		
90.64	4.18E-03		
90.82	4.15E-03		
91	4.13E-03		
91.18	4.10E-03		
91.36	4.07E-03		
91.54	4.04E-03		
91.72	4.02E-03		
91.9	3.99E-03		
92.08	3.96E-03		
92.26	3.94E-03		
92.44	3.91E-03		
92.62	3.89E-03		
92.8	3.86E-03		
92.98	3.84E-03		
93.16	3.81E-03		
93.34	3.79E-03		
93.52	3.76E-03		
93.7	3.74E-03		
93.88	3.71E-03		
94.06	3.69E-03		
94.24	3.67E-03		
94.42	3.64E-03		
94.6	3.62E-03		
94.78	3.59E-03		
94.96	3.57E-03		
95.14	3.55E-03		
95.32	3.52E-03		
95.5	3.50E-03		
95.68	3.48E-03		
95.86	3.46E-03		
96.04	3.43E-03		
96.22	3.41E-03		
96.4	3.39E-03		
96.58	3.37E-03		
96.76	3.35E-03		
96.94	3.33E-03		
97.12	3.30E-03		
97.3	3.28E-03		
97.48	3.26E-03		
97.66	3.24E-03		
97.84	3.22E-03		
98.02	3.20E-03		
98.2	3.18E-03		
98.38	3.16E-03		
98.56	3.14E-03		
98.74	3.12E-03		
98.92	3.10E-03		
99.1	3.08E-03		
99.28	3.06E-03		
99.46	3.04E-03		
99.64	3.02E-03		
99.82	3.00E-03		
100	2.98E-03		
