al	Density=2.6989	Thickness=0.25	microns
Photon	Energy	"(eV),"	Transmission
10	5.53E-15		
10.18	2.01E-14		
10.36	6.77E-14		
10.54	2.14E-13		
10.72	6.35E-13		
10.9	1.78E-12		
11.08	4.56E-12		
11.26	1.00E-11		
11.44	1.97E-11		
11.62	3.77E-11		
11.8	7.00E-11		
11.98	1.27E-10		
12.16	2.25E-10		
12.34	3.89E-10		
12.52	6.61E-10		
12.7	1.28E-09		
12.88	2.48E-09		
13.06	4.68E-09		
13.24	8.67E-09		
13.42	1.67E-08		
13.6	3.45E-08		
13.78	7.14E-08		
13.96	1.56E-07		
14.14	3.31E-07		
14.32	8.18E-07		
14.5	3.47E-06		
14.68	4.76E-05		
14.86	7.00E-04		
15.04	4.91E-03		
15.22	1.88E-02		
15.4	4.54E-02		
15.58	6.92E-02		
15.76	9.34E-02		
15.94	0.11821		
16.12	0.14586		
16.3	0.17769		
16.48	0.21281		
16.66	0.25004		
16.84	0.27752		
17.02	0.30099		
17.2	0.3243		
17.38	0.34606		
17.56	0.36613		
17.74	0.38065		
17.92	0.395		
18.1	0.40916		
18.28	0.42313		
18.46	0.43689		
18.64	0.45043		
18.82	0.46439		
19	0.47839		
19.18	0.49216		
19.36	0.50565		
19.54	0.51885		
19.72	0.53175		
19.9	0.54437		
20.08	0.55527		
20.26	0.56549		
20.44	0.56632		
20.62	0.56714		
20.8	0.56795		
20.98	0.56875		
21.16	0.56954		
21.34	0.57033		
21.52	0.57111		
21.7	0.57188		
21.88	0.57265		
22.06	0.5734		
22.24	0.57415		
22.42	0.5749		
22.6	0.57564		
22.78	0.57637		
22.96	0.57709		
23.14	0.57694		
23.32	0.57622		
23.5	0.57487		
23.68	0.57296		
23.86	0.57107		
24.04	0.56918		
24.22	0.5673		
24.4	0.56543		
24.58	0.56357		
24.76	0.56172		
24.94	0.55987		
25.12	0.55804		
25.3	0.55622		
25.48	0.55457		
25.66	0.55302		
25.84	0.55192		
26.02	0.55155		
26.2	0.55117		
26.38	0.55079		
26.56	0.55042		
26.74	0.55005		
26.92	0.54969		
27.1	0.54932		
27.28	0.54896		
27.46	0.5486		
27.64	0.54824		
27.82	0.54788		
28	0.54753		
28.18	0.54718		
28.36	0.54682		
28.54	0.54648		
28.72	0.54613		
28.9	0.54579		
29.08	0.54545		
29.26	0.54511		
29.44	0.54477		
29.62	0.54443		
29.8	0.5441		
29.98	0.54377		
30.16	0.54344		
30.34	0.54311		
30.52	0.54278		
30.7	0.54246		
30.88	0.54213		
31.06	0.54181		
31.24	0.54149		
31.42	0.54117		
31.6	0.54086		
31.78	0.54054		
31.96	0.54023		
32.14	0.53992		
32.32	0.53966		
32.5	0.53952		
32.68	0.53938		
32.86	0.53953		
33.04	0.54007		
33.22	0.54061		
33.4	0.54114		
33.58	0.54167		
33.76	0.5422		
33.94	0.54272		
34.12	0.54324		
34.3	0.54376		
34.48	0.54428		
34.66	0.54479		
34.84	0.5453		
35.02	0.5458		
35.2	0.54631		
35.38	0.54681		
35.56	0.5473		
