al	Density=2.6989	Thickness=0.25	microns
35.74	0.5478		
35.92	0.54829		
36.1	0.54878		
36.28	0.54927		
36.46	0.54975		
36.64	0.55023		
36.82	0.55071		
37	0.55119		
37.18	0.55166		
37.36	0.55213		
37.54	0.5526		
37.72	0.55306		
37.9	0.55353		
38.08	0.55399		
38.26	0.55444		
38.44	0.5549		
38.62	0.55535		
38.8	0.55581		
38.98	0.55625		
39.16	0.5567		
39.34	0.55714		
39.52	0.55759		
39.7	0.55803		
39.88	0.55846		
40.06	0.5589		
40.24	0.55933		
40.42	0.55978		
40.6	0.56029		
40.78	0.56081		
40.96	0.56132		
41.14	0.56203		
41.32	0.56289		
41.5	0.56375		
41.68	0.56461		
41.86	0.56546		
42.04	0.56631		
42.22	0.56715		
42.4	0.56799		
42.58	0.56883		
42.76	0.56966		
42.94	0.57048		
43.12	0.5713		
43.3	0.57212		
43.48	0.57293		
43.66	0.57374		
43.84	0.57454		
44.02	0.57534		
44.2	0.57614		
44.38	0.57693		
44.56	0.57771		
44.74	0.5785		
44.92	0.57928		
45.1	0.58005		
45.28	0.58082		
45.46	0.58159		
45.64	0.58235		
45.82	0.58311		
46	0.58387		
46.18	0.58462		
46.36	0.58537		
46.54	0.58611		
46.72	0.58685		
46.9	0.58759		
47.08	0.58832		
47.26	0.58905		
47.44	0.58994		
47.62	0.59178		
47.8	0.59362		
47.98	0.59544		
48.16	0.59725		
48.34	0.59948		
48.52	0.60175		
48.7	0.604		
48.88	0.60624		
49.06	0.60846		
49.24	0.61067		
49.42	0.61286		
49.6	0.61503		
49.78	0.61719		
49.96	0.61933		
50.14	0.62146		
50.32	0.62357		
50.5	0.62566		
50.68	0.62774		
50.86	0.6298		
51.04	0.63185		
51.22	0.63389		
51.4	0.63591		
51.58	0.63791		
51.76	0.6399		
51.94	0.64188		
52.12	0.64384		
52.3	0.64579		
52.48	0.64772		
52.66	0.64964		
52.84	0.65154		
53.02	0.65343		
53.2	0.65511		
53.38	0.65673		
53.56	0.65835		
53.74	0.65995		
53.92	0.66153		
54.1	0.66296		
54.28	0.66438		
54.46	0.66579		
54.64	0.66719		
54.82	0.66858		
55	0.66997		
55.18	0.67134		
55.36	0.67271		
55.54	0.67407		
55.72	0.67542		
55.9	0.67676		
56.08	0.67809		
56.26	0.67941		
56.44	0.68073		
56.62	0.68204		
56.8	0.68333		
56.98	0.68462		
57.16	0.68591		
57.34	0.68718		
57.52	0.68845		
57.7	0.68971		
57.88	0.69096		
58.06	0.6922		
58.24	0.69344		
58.42	0.69467		
58.6	0.69589		
58.78	0.6971		
58.96	0.69831		
59.14	0.69951		
59.32	0.7007		
59.5	0.70158		
59.68	0.70239		
59.86	0.70319		
60.04	0.70399		
60.22	0.70478		
60.4	0.7055		
60.58	0.70614		
60.76	0.70678		
60.94	0.70742		
61.12	0.70805		
61.3	0.70868		
61.48	0.70931		
61.66	0.70993		
61.84	0.71055		
62.02	0.71117		
62.2	0.71179		
62.38	0.7124		
62.56	0.71301		
62.74	0.71362		
62.92	0.71422		
63.1	0.71483		
63.28	0.71542		
63.46	0.71477		
63.64	0.71404		
63.82	0.71331		
64	0.71258		
64.18	0.71185		
64.36	0.71109		
64.54	0.71025		
64.72	0.70941		
64.9	0.70858		
65.08	0.70774		
65.26	0.7069		
65.44	0.70607		
65.62	0.70523		
65.8	0.7044		
65.98	0.70356		
66.16	0.70273		
66.34	0.7019		
66.52	0.70106		
66.7	0.70023		
66.88	0.6994		
67.06	0.69857		
67.24	0.69773		
67.42	0.6969		
67.6	0.69616		
67.78	0.69548		
67.96	0.6948		
68.14	0.69412		
68.32	0.69343		
68.5	0.69275		
68.68	0.69208		
68.86	0.69142		
69.04	0.69076		
69.22	0.6901		
69.4	0.68944		
69.58	0.68878		
69.76	0.68813		
69.94	0.68747		
70.12	0.68681		
70.3	0.68615		
70.48	0.6855		
70.66	0.68484		
70.84	0.68419		
71.02	0.68354		
71.2	0.68288		
71.38	0.68223		
71.56	0.68158		
71.74	0.68093		
71.92	0.68028		
72.1	0.67963		
72.28	0.67898		
72.46	0.67833		
72.64	0.53129		
72.82	1.21E-02		
73	1.17E-02		
73.18	1.14E-02		
73.36	1.11E-02		
73.54	1.08E-02		
73.72	1.05E-02		
73.9	1.03E-02		
74.08	9.98E-03		
74.26	9.71E-03		
74.44	9.44E-03		
74.62	9.18E-03		
74.8	8.93E-03		
74.98	8.68E-03		
75.16	8.44E-03		
75.34	8.21E-03		
75.52	7.98E-03		
75.7	7.76E-03		
75.88	7.54E-03		
76.06	7.33E-03		
76.24	7.12E-03		
76.42	6.92E-03		
76.6	6.72E-03		
76.78	6.53E-03		
76.96	6.34E-03		
77.14	6.16E-03		
77.32	5.98E-03		
77.5	5.81E-03		
77.68	5.64E-03		
77.86	5.48E-03		
78.04	5.32E-03		
78.22	5.16E-03		
78.4	5.01E-03		
78.58	4.86E-03		
78.76	4.72E-03		
78.94	4.58E-03		
79.12	4.44E-03		
79.3	4.31E-03		
79.48	4.18E-03		
79.66	4.05E-03		
79.84	3.93E-03		
80.02	3.81E-03		
80.2	3.69E-03		
80.38	3.58E-03		
80.56	3.47E-03		
80.74	3.38E-03		
80.92	3.28E-03		
81.1	3.19E-03		
81.28	3.10E-03		
81.46	3.01E-03		
81.64	2.92E-03		
81.82	2.84E-03		
82	2.76E-03		
82.18	2.68E-03		
82.36	2.60E-03		
82.54	2.53E-03		
82.72	2.45E-03		
82.9	2.38E-03		
83.08	2.31E-03		
83.26	2.25E-03		
83.44	2.18E-03		
83.62	2.12E-03		
83.8	2.06E-03		
83.98	2.00E-03		
84.16	1.94E-03		
84.34	1.88E-03		
84.52	1.82E-03		
84.7	1.77E-03		
84.88	1.72E-03		
85.06	1.67E-03		
85.24	1.62E-03		
85.42	1.57E-03		
85.6	1.52E-03		
85.78	1.47E-03		
85.96	1.44E-03		
86.14	1.41E-03		
86.32	1.38E-03		
86.5	1.35E-03		
86.68	1.33E-03		
86.86	1.30E-03		
87.04	1.27E-03		
87.22	1.25E-03		
87.4	1.24E-03		
87.58	1.22E-03		
87.76	1.21E-03		
87.94	1.20E-03		
88.12	1.19E-03		
88.3	1.18E-03		
88.48	1.17E-03		
88.66	1.16E-03		
88.84	1.16E-03		
89.02	1.15E-03		
89.2	1.14E-03		
89.38	1.13E-03		
89.56	1.12E-03		
89.74	1.11E-03		
89.92	1.10E-03		
90.1	1.09E-03		
90.28	1.08E-03		
90.46	1.07E-03		
90.64	1.06E-03		
90.82	1.05E-03		
91	1.05E-03		
91.18	1.04E-03		
91.36	1.03E-03		
91.54	1.02E-03		
91.72	1.01E-03		
91.9	1.00E-03		
92.08	9.95E-04		
92.26	9.87E-04		
92.44	9.79E-04		
92.62	9.71E-04		
92.8	9.63E-04		
92.98	9.55E-04		
93.16	9.47E-04		
93.34	9.39E-04		
93.52	9.32E-04		
93.7	9.24E-04		
93.88	9.17E-04		
94.06	9.09E-04		
94.24	9.02E-04		
94.42	8.94E-04		
94.6	8.87E-04		
94.78	8.80E-04		
94.96	8.73E-04		
95.14	8.66E-04		
95.32	8.59E-04		
95.5	8.52E-04		
95.68	8.45E-04		
95.86	8.38E-04		
96.04	8.31E-04		
96.22	8.25E-04		
96.4	8.18E-04		
96.58	8.11E-04		
96.76	8.05E-04		
96.94	7.98E-04		
97.12	7.92E-04		
97.3	7.86E-04		
97.48	7.79E-04		
97.66	7.73E-04		
97.84	7.67E-04		
98.02	7.61E-04		
98.2	7.55E-04		
98.38	7.49E-04		
98.56	7.43E-04		
98.74	7.37E-04		
98.92	7.31E-04		
99.1	7.25E-04		
99.28	7.19E-04		
99.46	7.14E-04		
99.64	7.08E-04		
99.82	7.02E-04		
100	6.97E-04		
