al	Density=2.6989	Thickness=0.5	microns
Photon	Energy	"(eV),"	Transmission
65.62	0.49735		
65.8	0.49618		
65.98	0.495		
66.16	0.49383		
66.34	0.49266		
66.52	0.49149		
66.7	0.49032		
66.88	0.48916		
67.06	0.48799		
67.24	0.48683		
67.42	0.48567		
67.6	0.48465		
67.78	0.48369		
67.96	0.48274		
68.14	0.4818		
68.32	0.48085		
68.5	0.47991		
68.68	0.47898		
68.86	0.47806		
69.04	0.47715		
69.22	0.47624		
69.4	0.47533		
69.58	0.47442		
69.76	0.47352		
69.94	0.47261		
70.12	0.47171		
70.3	0.47081		
70.48	0.46991		
70.66	0.46901		
70.84	0.46812		
71.02	0.46722		
71.2	0.46633		
71.38	0.46544		
71.56	0.46455		
71.74	0.46366		
71.92	0.46278		
72.1	0.46189		
72.28	0.46101		
72.46	0.46013		
72.64	0.28227		
72.82	1.46E-04		
73	1.38E-04		
73.18	1.31E-04		
73.36	1.24E-04		
73.54	1.17E-04		
73.72	1.11E-04		
73.9	1.05E-04		
74.08	9.95E-05		
74.26	9.42E-05		
74.44	8.91E-05		
74.62	8.43E-05		
74.8	7.97E-05		
74.98	7.54E-05		
75.16	7.13E-05		
75.34	6.74E-05		
75.52	6.37E-05		
75.7	6.02E-05		
75.88	5.68E-05		
76.06	5.37E-05		
76.24	5.07E-05		
76.42	4.78E-05		
76.6	4.52E-05		
76.78	4.26E-05		
76.96	4.02E-05		
77.14	3.79E-05		
77.32	3.58E-05		
77.5	3.37E-05		
77.68	3.18E-05		
77.86	3.00E-05		
78.04	2.83E-05		
78.22	2.66E-05		
78.4	2.51E-05		
78.58	2.36E-05		
78.76	2.22E-05		
78.94	2.09E-05		
79.12	1.97E-05		
79.3	1.85E-05		
79.48	1.74E-05		
79.66	1.64E-05		
79.84	1.54E-05		
80.02	1.45E-05		
80.2	1.36E-05		
80.38	1.28E-05		
80.56	1.21E-05		
80.74	1.14E-05		
80.92	1.08E-05		
81.1	1.02E-05		
81.28	9.59E-06		
81.46	9.06E-06		
81.64	8.55E-06		
81.82	8.06E-06		
82	7.61E-06		
82.18	7.18E-06		
82.36	6.77E-06		
82.54	6.39E-06		
82.72	6.03E-06		
82.9	5.68E-06		
83.08	5.36E-06		
83.26	5.05E-06		
83.44	4.76E-06		
83.62	4.49E-06		
83.8	4.23E-06		
83.98	3.98E-06		
84.16	3.75E-06		
84.34	3.53E-06		
84.52	3.32E-06		
84.7	3.13E-06		
84.88	2.95E-06		
85.06	2.77E-06		
85.24	2.61E-06		
85.42	2.46E-06		
85.6	2.31E-06		
85.78	2.17E-06		
85.96	2.07E-06		
86.14	1.99E-06		
86.32	1.91E-06		
86.5	1.83E-06		
86.68	1.76E-06		
86.86	1.69E-06		
87.04	1.62E-06		
87.22	1.55E-06		
87.4	1.53E-06		
87.58	1.50E-06		
87.76	1.47E-06		
87.94	1.45E-06		
88.12	1.43E-06		
88.3	1.40E-06		
88.48	1.38E-06		
88.66	1.36E-06		
88.84	1.33E-06		
89.02	1.31E-06		
89.2	1.29E-06		
89.38	1.27E-06		
89.56	1.25E-06		
89.74	1.23E-06		
89.92	1.21E-06		
90.1	1.19E-06		
90.28	1.17E-06		
90.46	1.15E-06		
90.64	1.13E-06		
90.82	1.11E-06		
91	1.09E-06		
91.18	1.08E-06		
91.36	1.06E-06		
91.54	1.04E-06		
91.72	1.02E-06		
91.9	1.01E-06		
92.08	9.90E-07		
92.26	9.74E-07		
92.44	9.58E-07		
92.62	9.42E-07		
92.8	9.27E-07		
92.98	9.12E-07		
93.16	8.97E-07		
93.34	8.82E-07		
93.52	8.68E-07		
93.7	8.54E-07		
93.88	8.40E-07		
94.06	8.27E-07		
94.24	8.13E-07		
94.42	8.00E-07		
94.6	7.87E-07		
94.78	7.74E-07		
94.96	7.62E-07		
95.14	7.50E-07		
95.32	7.38E-07		
95.5	7.26E-07		
95.68	7.14E-07		
95.86	7.03E-07		
96.04	6.91E-07		
96.22	6.80E-07		
96.4	6.69E-07		
96.58	6.58E-07		
96.76	6.48E-07		
96.94	6.38E-07		
97.12	6.27E-07		
97.3	6.17E-07		
97.48	6.07E-07		
97.66	5.98E-07		
97.84	5.88E-07		
98.02	5.79E-07		
98.2	5.70E-07		
98.38	5.61E-07		
98.56	5.52E-07		
98.74	5.43E-07		
98.92	5.34E-07		
99.1	5.26E-07		
99.28	5.17E-07		
99.46	5.09E-07		
99.64	5.01E-07		
99.82	4.93E-07		
100	4.85E-07		
