al	Density=2.6989	Thickness=0.1	microns
35.38	0.78548		
35.56	0.78576		
35.74	0.78605		
35.92	0.78633		
36.1	0.78661		
36.28	0.78689		
36.46	0.78717		
36.64	0.78744		
36.82	0.78771		
37	0.78799		
37.18	0.78826		
37.36	0.78853		
37.54	0.78879		
37.72	0.78906		
37.9	0.78932		
38.08	0.78959		
38.26	0.78985		
38.44	0.79011		
38.62	0.79037		
38.8	0.79062		
38.98	0.79088		
39.16	0.79113		
39.34	0.79138		
39.52	0.79163		
39.7	0.79188		
39.88	0.79213		
40.06	0.79238		
40.24	0.79262		
40.42	0.79288		
40.6	0.79317		
40.78	0.79346		
40.96	0.79375		
41.14	0.79415		
41.32	0.79464		
41.5	0.79513		
41.68	0.79561		
41.86	0.79609		
42.04	0.79657		
42.22	0.79704		
42.4	0.79751		
42.58	0.79798		
42.76	0.79844		
42.94	0.79891		
43.12	0.79937		
43.3	0.79982		
43.48	0.80028		
43.66	0.80073		
43.84	0.80118		
44.02	0.80162		
44.2	0.80207		
44.38	0.80251		
44.56	0.80294		
44.74	0.80338		
44.92	0.80381		
45.1	0.80424		
45.28	0.80467		
45.46	0.80509		
45.64	0.80552		
45.82	0.80594		
46	0.80635		
46.18	0.80677		
46.36	0.80718		
46.54	0.80759		
46.72	0.808		
46.9	0.80841		
47.08	0.80881		
47.26	0.80921		
47.44	0.8097		
47.62	0.81071		
47.8	0.81171		
47.98	0.81271		
48.16	0.8137		
48.34	0.81491		
48.52	0.81614		
48.7	0.81736		
48.88	0.81857		
49.06	0.81977		
49.24	0.82096		
49.42	0.82214		
49.6	0.8233		
49.78	0.82446		
49.96	0.8256		
50.14	0.82673		
50.32	0.82785		
50.5	0.82896		
50.68	0.83006		
50.86	0.83116		
51.04	0.83224		
51.22	0.83331		
51.4	0.83437		
51.58	0.83542		
51.76	0.83646		
51.94	0.83749		
52.12	0.83851		
52.3	0.83953		
52.48	0.84053		
52.66	0.84153		
52.84	0.84251		
53.02	0.84349		
53.2	0.84436		
53.38	0.84519		
53.56	0.84602		
53.74	0.84685		
53.92	0.84766		
54.1	0.84839		
54.28	0.84912		
54.46	0.84984		
54.64	0.85055		
54.82	0.85126		
55	0.85196		
55.18	0.85266		
55.36	0.85336		
55.54	0.85405		
55.72	0.85473		
55.9	0.85541		
56.08	0.85608		
56.26	0.85675		
56.44	0.85741		
56.62	0.85807		
56.8	0.85872		
56.98	0.85937		
57.16	0.86002		
57.34	0.86065		
57.52	0.86129		
57.7	0.86192		
57.88	0.86254		
58.06	0.86316		
58.24	0.86378		
58.42	0.86439		
58.6	0.865		
58.78	0.8656		
58.96	0.8662		
59.14	0.8668		
59.32	0.86739		
59.5	0.86782		
59.68	0.86822		
59.86	0.86862		
60.04	0.86901		
60.22	0.8694		
60.4	0.86976		
60.58	0.87008		
60.76	0.87039		
60.94	0.8707		
61.12	0.87102		
61.3	0.87133		
61.48	0.87163		
61.66	0.87194		
61.84	0.87225		
62.02	0.87255		
62.2	0.87285		
62.38	0.87315		
62.56	0.87345		
62.74	0.87375		
62.92	0.87404		
63.1	0.87434		
63.28	0.87463		
63.46	0.87431		
63.64	0.87395		
63.82	0.8736		
64	0.87324		
64.18	0.87288		
64.36	0.87251		
64.54	0.8721		
64.72	0.87169		
64.9	0.87127		
65.08	0.87086		
65.26	0.87045		
65.44	0.87004		
65.62	0.86963		
65.8	0.86921		
65.98	0.8688		
66.16	0.86839		
66.34	0.86798		
66.52	0.86757		
66.7	0.86715		
66.88	0.86674		
67.06	0.86633		
67.24	0.86592		
67.42	0.8655		
67.6	0.86514		
67.78	0.8648		
67.96	0.86446		
68.14	0.86412		
68.32	0.86378		
68.5	0.86344		
68.68	0.8631		
68.86	0.86277		
69.04	0.86244		
69.22	0.86211		
69.4	0.86179		
69.58	0.86146		
69.76	0.86113		
69.94	0.8608		
70.12	0.86047		
70.3	0.86014		
70.48	0.85981		
70.66	0.85948		
70.84	0.85915		
71.02	0.85882		
71.2	0.8585		
71.38	0.85817		
71.56	0.85784		
71.74	0.85751		
71.92	0.85718		
72.1	0.85686		
72.28	0.85653		
72.46	0.8562		
72.64	0.77648		
72.82	0.17087		
73	0.16904		
73.18	0.16723		
73.36	0.16542		
73.54	0.16363		
73.72	0.16186		
73.9	0.16009		
74.08	0.15834		
74.26	0.1566		
74.44	0.15488		
74.62	0.15317		
74.8	0.15147		
74.98	0.14978		
75.16	0.14811		
75.34	0.14645		
75.52	0.1448		
75.7	0.14317		
75.88	0.14155		
76.06	0.13994		
76.24	0.13834		
76.42	0.13676		
76.6	0.13519		
76.78	0.13363		
76.96	0.13209		
77.14	0.13056		
77.32	0.12904		
77.5	0.12753		
77.68	0.12604		
77.86	0.12455		
78.04	0.12308		
78.22	0.12163		
78.4	0.12018		
78.58	0.11875		
78.76	0.11733		
78.94	0.11592		
79.12	0.11453		
79.3	0.11315		
79.48	0.11178		
79.66	0.11042		
79.84	0.10907		
80.02	0.10774		
80.2	0.10642		
80.38	0.1051		
80.56	0.10383		
80.74	0.10265		
80.92	0.10149		
81.1	0.10033		
81.28	9.92E-02		
81.46	9.80E-02		
81.64	9.69E-02		
81.82	9.58E-02		
82	9.47E-02		
82.18	9.36E-02		
82.36	9.25E-02		
82.54	9.14E-02		
82.72	9.04E-02		
82.9	8.93E-02		
83.08	8.83E-02		
83.26	8.72E-02		
83.44	8.62E-02		
83.62	8.52E-02		
83.8	8.42E-02		
83.98	8.32E-02		
84.16	8.22E-02		
84.34	8.12E-02		
84.52	8.02E-02		
84.7	7.93E-02		
84.88	7.83E-02		
85.06	7.74E-02		
85.24	7.64E-02		
85.42	7.55E-02		
85.6	7.46E-02		
85.78	7.37E-02		
85.96	7.30E-02		
86.14	7.24E-02		
86.32	7.18E-02		
86.5	7.12E-02		
86.68	7.06E-02		
86.86	7.01E-02		
87.04	6.95E-02		
87.22	6.89E-02		
87.4	6.87E-02		
87.58	6.84E-02		
87.76	6.82E-02		
87.94	6.80E-02		
88.12	6.77E-02		
88.3	6.75E-02		
88.48	6.73E-02		
88.66	6.71E-02		
88.84	6.68E-02		
89.02	6.66E-02		
89.2	6.64E-02		
89.38	6.62E-02		
89.56	6.60E-02		
89.74	6.57E-02		
89.92	6.55E-02		
90.1	6.53E-02		
90.28	6.51E-02		
90.46	6.49E-02		
90.64	6.47E-02		
90.82	6.44E-02		
91	6.42E-02		
91.18	6.40E-02		
91.36	6.38E-02		
91.54	6.36E-02		
91.72	6.34E-02		
91.9	6.32E-02		
92.08	6.30E-02		
92.26	6.28E-02		
92.44	6.26E-02		
92.62	6.23E-02		
92.8	6.21E-02		
92.98	6.19E-02		
93.16	6.17E-02		
93.34	6.15E-02		
93.52	6.13E-02		
93.7	6.11E-02		
93.88	6.09E-02		
94.06	6.07E-02		
94.24	6.05E-02		
94.42	6.03E-02		
94.6	6.01E-02		
94.78	6.00E-02		
94.96	5.98E-02		
95.14	5.96E-02		
95.32	5.94E-02		
95.5	5.92E-02		
95.68	5.90E-02		
95.86	5.88E-02		
96.04	5.86E-02		
96.22	5.84E-02		
96.4	5.82E-02		
96.58	5.80E-02		
96.76	5.79E-02		
96.94	5.77E-02		
97.12	5.75E-02		
97.3	5.73E-02		
97.48	5.71E-02		
97.66	5.69E-02		
97.84	5.67E-02		
98.02	5.66E-02		
98.2	5.64E-02		
98.38	5.62E-02		
98.56	5.60E-02		
98.74	5.58E-02		
98.92	5.57E-02		
99.1	5.55E-02		
99.28	5.53E-02		
99.46	5.51E-02		
99.64	5.50E-02		
99.82	5.48E-02		
100	5.46E-02		
