al	Density=2.6989	Thickness=0.1	microns
Photon	Energy	"(eV),"	Transmission
10	1.98E-06		
10.18	3.32E-06		
10.36	5.40E-06		
10.54	8.55E-06		
10.72	1.32E-05		
10.9	2.00E-05		
11.08	2.91E-05		
11.26	3.99E-05		
11.44	5.22E-05		
11.62	6.77E-05		
11.8	8.67E-05		
11.98	1.10E-04		
12.16	1.38E-04		
12.34	1.72E-04		
12.52	2.13E-04		
12.7	2.77E-04		
12.88	3.61E-04		
13.06	4.66E-04		
13.24	5.96E-04		
13.42	7.75E-04		
13.6	1.04E-03		
13.78	1.39E-03		
13.96	1.89E-03		
14.14	2.56E-03		
14.32	3.67E-03		
14.5	6.55E-03		
14.68	1.87E-02		
14.86	5.47E-02		
15.04	0.11924		
15.22	0.20404		
15.4	0.29024		
15.58	0.34363		
15.76	0.38731		
15.94	0.42565		
16.12	0.463		
16.3	0.50103		
16.48	0.53851		
16.66	0.57438		
16.84	0.59885		
17.02	0.61862		
17.2	0.63735		
17.38	0.65413		
17.56	0.66904		
17.74	0.67953		
17.92	0.68966		
18.1	0.69945		
18.28	0.70891		
18.46	0.71804		
18.64	0.72686		
18.82	0.73579		
19	0.74458		
19.18	0.75308		
19.36	0.76127		
19.54	0.76916		
19.72	0.77676		
19.9	0.78407		
20.08	0.79032		
20.26	0.79611		
20.44	0.79657		
20.62	0.79703		
20.8	0.79749		
20.98	0.79794		
21.16	0.79838		
21.34	0.79882		
21.52	0.79926		
21.7	0.79969		
21.88	0.80012		
22.06	0.80054		
22.24	0.80096		
22.42	0.80138		
22.6	0.80179		
22.78	0.80219		
22.96	0.8026		
23.14	0.80252		
23.32	0.80211		
23.5	0.80136		
23.68	0.8003		
23.86	0.79924		
24.04	0.79818		
24.22	0.79712		
24.4	0.79607		
24.58	0.79502		
24.76	0.79398		
24.94	0.79293		
25.12	0.79189		
25.3	0.79086		
25.48	0.78992		
25.66	0.78904		
25.84	0.78841		
26.02	0.78819		
26.2	0.78798		
26.38	0.78776		
26.56	0.78755		
26.74	0.78734		
26.92	0.78713		
27.1	0.78692		
27.28	0.78671		
27.46	0.7865		
27.64	0.7863		
27.82	0.78609		
28	0.78589		
28.18	0.78569		
28.36	0.78549		
28.54	0.78529		
28.72	0.78509		
28.9	0.78489		
29.08	0.78469		
29.26	0.7845		
29.44	0.7843		
29.62	0.78411		
29.8	0.78392		
29.98	0.78373		
30.16	0.78354		
30.34	0.78335		
30.52	0.78316		
30.7	0.78297		
30.88	0.78278		
31.06	0.7826		
31.24	0.78241		
31.42	0.78223		
31.6	0.78205		
31.78	0.78187		
31.96	0.78169		
32.14	0.7815		
32.32	0.78136		
32.5	0.78127		
32.68	0.78119		
32.86	0.78128		
33.04	0.78159		
33.22	0.7819		
33.4	0.78221		
33.58	0.78252		
33.76	0.78282		
33.94	0.78313		
34.12	0.78343		
34.3	0.78372		
34.48	0.78402		
34.66	0.78432		
34.84	0.78461		
35.02	0.7849		
35.2	0.78519		
